timestamp,event,details,image_path
2025-11-13T13:26:11.477870,alarm,Fire (heuristic),detections\alarm_20251113_132611_468321.jpg
2025-11-13T13:26:11.824413,alarm,Fire (heuristic),detections\alarm_20251113_132611_813388.jpg
2025-11-13T13:26:12.053850,alarm,Fire (heuristic),detections\alarm_20251113_132612_042511.jpg
2025-11-13T13:26:12.296751,alarm,Fire (heuristic),detections\alarm_20251113_132612_287683.jpg
2025-11-13T13:26:12.519638,alarm,Fire (heuristic),detections\alarm_20251113_132612_505179.jpg
2025-11-13T13:26:12.793525,alarm,Fire (heuristic),detections\alarm_20251113_132612_783997.jpg
2025-11-13T13:26:13.104623,alarm,Fire (heuristic),detections\alarm_20251113_132613_087816.jpg
2025-11-13T13:26:13.304249,alarm,Fire (heuristic),detections\alarm_20251113_132613_292506.jpg
2025-11-13T13:26:13.501531,alarm,Fire (heuristic),detections\alarm_20251113_132613_491901.jpg
2025-11-13T13:26:13.700653,alarm,Fire (heuristic),detections\alarm_20251113_132613_691719.jpg
2025-11-13T13:26:13.938125,alarm,Fire (heuristic),detections\alarm_20251113_132613_929171.jpg
2025-11-13T13:26:14.133552,alarm,Fire (heuristic),detections\alarm_20251113_132614_121264.jpg
2025-11-13T13:26:14.350513,alarm,Fire (heuristic),detections\alarm_20251113_132614_338614.jpg
2025-11-13T13:26:14.539510,alarm,Fire (heuristic),detections\alarm_20251113_132614_529460.jpg
2025-11-13T13:26:15.020789,alarm,Fire (heuristic),detections\alarm_20251113_132615_003736.jpg
2025-11-13T13:26:15.334855,alarm,Fire (heuristic),detections\alarm_20251113_132615_316263.jpg
2025-11-13T13:26:15.605231,alarm,Fire (heuristic),detections\alarm_20251113_132615_592967.jpg
2025-11-13T13:26:15.987471,alarm,Fire (heuristic),detections\alarm_20251113_132615_976438.jpg
2025-11-13T13:26:16.012588,record_end,,detections\clip_20251113_132607.mp4
2025-11-13T13:26:16.233942,alarm,Fire (heuristic),detections\alarm_20251113_132616_223803.jpg
2025-11-13T13:26:16.239249,record_start,Fire (heuristic),detections\clip_20251113_132616.mp4
2025-11-13T13:26:16.460109,alarm,Fire (heuristic),detections\alarm_20251113_132616_449807.jpg
