timestamp,cam,event,class,conf,box,track_id,image,clip
2025-11-13T17:21:42.213193,0,detect,person,0.924,"[124, 152, 530, 479]",0,,
2025-11-13T17:21:42.318466,0,detect,person,0.917,"[129, 153, 530, 479]",0,,
2025-11-13T17:21:42.508029,0,detect,person,0.919,"[131, 153, 528, 479]",0,,
2025-11-13T17:21:42.618107,0,detect,person,0.918,"[131, 153, 524, 479]",0,,
2025-11-13T17:21:42.854408,0,detect,person,0.917,"[134, 154, 522, 479]",0,,
2025-11-13T17:21:43.089862,0,detect,person,0.902,"[135, 157, 517, 479]",0,,
2025-11-13T17:21:43.326391,0,detect,person,0.914,"[138, 155, 518, 479]",0,,
2025-11-13T17:21:43.544703,0,detect,person,0.894,"[137, 157, 516, 479]",0,,
2025-11-13T17:21:43.876332,0,detect,person,0.895,"[137, 156, 515, 479]",0,,
2025-11-13T17:21:44.120979,0,detect,person,0.919,"[137, 157, 513, 479]",0,,
2025-11-13T17:21:44.342455,0,detect,person,0.913,"[134, 157, 514, 479]",0,,
2025-11-13T17:21:44.346880,0,detect,cell phone,0.365,"[274, 306, 342, 388]",1,,
2025-11-13T17:21:44.575234,0,detect,person,0.912,"[119, 165, 516, 479]",0,,
2025-11-13T17:21:44.709912,0,detect,person,0.909,"[115, 170, 518, 479]",0,,
2025-11-13T17:21:44.868807,0,detect,person,0.902,"[114, 169, 522, 479]",0,,
2025-11-13T17:21:44.986984,0,detect,person,0.914,"[116, 168, 523, 479]",0,,
2025-11-13T17:21:45.129004,0,detect,person,0.917,"[121, 166, 524, 479]",0,,
2025-11-13T17:21:45.238205,0,detect,person,0.916,"[117, 164, 525, 479]",0,,
2025-11-13T17:21:45.455435,0,detect,person,0.91,"[116, 163, 525, 479]",0,,
2025-11-13T17:21:45.620668,0,detect,person,0.894,"[111, 159, 527, 479]",0,,
2025-11-13T17:21:45.788724,0,detect,person,0.894,"[114, 155, 529, 479]",0,,
2025-11-13T17:21:46.015849,0,detect,person,0.907,"[115, 156, 531, 479]",0,,
2025-11-13T17:21:46.263477,0,detect,person,0.91,"[116, 157, 531, 479]",0,,
2025-11-13T17:21:46.577279,0,detect,person,0.908,"[116, 158, 531, 479]",0,,
2025-11-13T17:21:47.099004,0,detect,person,0.875,"[116, 157, 530, 479]",0,,
2025-11-13T17:21:47.550441,0,detect,person,0.891,"[114, 153, 525, 479]",0,,
2025-11-13T17:21:47.961642,0,detect,person,0.888,"[115, 151, 522, 479]",0,,
2025-11-13T17:21:48.487808,0,detect,person,0.914,"[117, 151, 524, 479]",0,,
2025-11-13T17:21:48.986264,0,detect,person,0.909,"[117, 151, 523, 479]",0,,
2025-11-13T17:21:49.376038,0,detect,person,0.856,"[114, 150, 481, 479]",0,,
